Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,856.2608667,0.210047087,2.268881961
0.1,0.113057494,0.000368346,6882.515613,0.156445861,2.323370012
0.2,0.135099635,0.000743564,11471.55077,0.140757697,2.354973081
0.3,-0.085565832,0.001137107,16358.84938,0.13051681,2.396383963
0.4,0.053258565,0.001503508,18649.5584,0.126812661,2.43452561
0.5,0.380763196,0.001855662,19248.61331,0.126812664,2.467218471
0.6,0.759386048,0.002203957,20144.20644,0.123762191,2.515167994
0.7,0.404067717,0.002607667,20518.4261,0.122454841,2.54786078
0.8,0.665077119,0.002964842,20585.40157,0.122454843,2.579463874
0.9,0.251575458,0.003372945,19975.01486,0.126812663,2.615425932
1,0.360477002,0.003741605,20320.59471,0.132477835,2.796326241
1.1,0.472287713,0.004110045,20792.52857,0.13509253,2.909661379
1.2,0.489342713,0.00448564,21326.87247,0.140321919,3.075305036
1.3,0.587438782,0.004855115,21534.44006,0.145115526,3.187550408
1.388,0.596030392,0.005186123,22045.82048,0.147294438,3.293257219
1.5,0.791527243,0.005593417,22746.46056,0.150780698,3.452362332
1.6,0.69595594,0.005977465,23266.4273,0.152959609,3.565697442
1.7,0.579604876,0.006363082,23692.33968,0.157317432,3.723712734
1.8,0.923317743,0.006713963,24134.07484,0.159496347,3.835958178
1.9,0.5779737,0.00711687,24848.75331,0.159932126,3.955831795
2,0.689368827,0.007485291,26572.03746,0.15862478,4.187950884
2.1,0.641175382,0.007865762,28760.37338,0.158188998,4.503981514
2.2,0.646593723,0.008242185,30283.43196,0.157317433,4.712125838
2.3,0.915499448,0.008598713,32907.43011,0.153831177,5.008540845
2.4,0.869383678,0.008980915,34590.17236,0.152523829,5.217774924
2.5,0.812047437,0.009360188,36517.94272,0.152523829,5.509830814
2.6,1.060588999,0.009718254,37936.01355,0.152523832,5.717975213
2.7,0.703192689,0.010122071,38922.75051,0.155138522,5.959902012
2.8,1.01199556,0.010475587,40307.77601,0.15601009,6.20182903
2.9,1.095961404,0.010846079,41005.49,0.159060568,6.418691442
3,1.080599983,0.01122407,42344.63543,0.162982609,6.79138967
3.1,1.022847846,0.011605262,44386.32914,0.166033085,7.262166339
3.2,0.970498147,0.011987934,46357.20836,0.166033085,7.579286741
3.3,0.90318762,0.012367961,48669.19417,0.168211996,8.051153163
3.4,0.906111789,0.012748347,50224.10766,0.169519343,8.365004288
3.5,1.092729661,0.013111088,52302.89807,0.17213404,8.83578106
3.6,1.153422471,0.01348145,54072.90764,0.172569823,9.150721984
