Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
nm,mN,N/m,nm,uN
0,0,290.9871696,0.375012089,2.205994437
-0.062676714,0.000349226,1718.058669,0.30428804,2.246481433
0.504159726,0.000655383,4961.937534,0.237493102,2.297910909
0.36196118,0.001010049,7753.459921,0.207806465,2.33183244
0.311358462,0.001358449,11466.376,0.183358646,2.377790654
0.384826458,0.001698361,13423.9194,0.168515326,2.408429477
0.277600865,0.002050635,15584.11358,0.154545144,2.439068271
0.49429143,0.002380748,18077.53779,0.140574961,2.486120753
0.407050381,0.002731654,18967.9259,0.137082416,2.515665317
0.408074403,0.003076522,19933.42959,0.133153302,2.56052929
0.51901342,0.00341387,20513.25655,0.130970461,2.596639325
0.688240691,0.00374723,21505.94778,0.129660756,2.701686702
0.512734571,0.004104175,22908.01311,0.127477915,2.842844064
0.578708363,0.0044446,24170.83694,0.124421937,2.936948998
0.546424811,0.004791746,25241.03241,0.124858506,3.075917891
0.917726654,0.005076787,25910.40101,0.125295073,3.16892861
0.849074037,0.005458114,26593.07661,0.127477914,3.307897505
0.801802388,0.005803618,27500.73576,0.126604778,3.400908173
0.960205007,0.006135051,28514.88892,0.126604778,3.540971336
1.104451907,0.006467451,29044.78192,0.127041345,3.632887791
0.93977106,0.006820988,29618.67279,0.12835105,3.743406355
0.937464635,0.007163416,31747.72671,0.130533891,4.076056309
1.045905894,0.007498266,32800.24474,0.132716732,4.271925877
1.160175977,0.007832717,34574.20485,0.134899573,4.565183104
0.94470108,0.008189729,35582.94303,0.136645846,4.761052622
1.015671318,0.008527143,37373.13843,0.137955551,5.055404076
1.072485837,0.008865526,38353.53575,0.139265255,5.251273644
0.944443321,0.009216556,39319.87436,0.142757801,5.542342334
0.676508995,0.009577157,39518.86159,0.146686916,5.734929109
0.990624522,0.009897936,40288.47065,0.151052597,6.024903646
0.915041435,0.010245377,40298.63959,0.156291415,6.248129253
0.953536788,0.010585013,41207.41524,0.161966802,6.637679883
1.083627571,0.010921803,41879.40473,0.171134734,7.164010939
1.104636846,0.011259214,41998.77067,0.177683257,7.484624247
1.272199048,0.01159002,42632.53362,0.185978052,7.966091342
1.26073304,0.011933073,42870.22199,0.192526575,8.283421902
1.1268617,0.012284502,43187.00447,0.199075098,8.600752416
1.364369805,0.012610521,42944.41777,0.212608711,9.086596522
1.141400705,0.012968045,42548.80921,0.223522917,9.432377345
1.244845827,0.013303237,41844.40545,0.238802804,9.887582571
1.330804473,0.013639625,41894.46476,0.250153576,10.35263605
1.671566453,0.013955159,41975.58705,0.260631211,10.79689893
1.076384821,0.01434157,42230.56679,0.269362578,11.21489965
1.580353516,0.014649359,42360.57128,0.285079031,11.88567103
1.518093459,0.014995887,42231.89023,0.295993236,12.29272949
1.260151009,0.015359225,41815.77682,0.313892534,12.89237474
1.316132838,0.015697663,41470.24691,0.326989579,13.3125642
1.050696581,0.016058093,41259.67994,0.344015741,13.92971729
1.251566755,0.016383199,41121.67876,0.354929944,14.32145651
